"data","precip_media_mm"
2019-04-04,0.944444444444444
2019-04-05,0.715277777777778
2019-04-06,13.5902777777778
2019-04-07,7.36805555555556
2019-04-08,0.00694444444444444
2019-04-09,4.875
2019-04-10,1.25694444444444
2019-04-11,0.25
2019-04-12,7.27083333333333
2019-04-13,0.173611111111111
2019-04-14,0
2019-04-15,0.979166666666667
2019-04-16,16.4444444444444
2019-04-17,0.152777777777778
2019-04-18,0.277777777777778
2019-04-19,2.48611111111111
2019-04-20,0.375
2019-04-21,2.125
2019-04-22,0
2019-04-23,7.61111111111111
2019-04-24,37.8055555555556
2019-04-25,0.8125
2019-04-26,1.47916666666667
2019-04-27,1.61805555555556
2019-04-28,8.47222222222222
2019-04-29,0.263888888888889
2019-04-30,0.00694444444444444
2019-05-01,0.277777777777778
2019-05-02,0.125
2019-05-03,4.96527777777778
2019-05-04,11.625
2019-05-05,4.75
2019-05-06,0
2019-05-07,0
2019-05-08,0
2019-05-09,0
2019-05-10,0
2019-05-11,0
2019-05-12,0.548611111111111
2019-05-13,2.25694444444444
2019-05-14,0.0972222222222222
2019-05-15,0.166666666666667
2019-05-16,0
2019-05-17,0.375
2019-05-18,1.88194444444444
2019-05-19,4.66666666666667
2019-05-20,0
2019-05-21,0
2019-05-22,0
2019-05-23,0
2019-05-24,0
2019-05-25,1.73611111111111
2019-05-26,1.26388888888889
2019-05-27,0.0277777777777778
2019-05-28,0
2019-05-29,1.11805555555556
2019-05-30,0
2019-05-31,0
2019-06-01,1.01388888888889
2019-06-02,0
2019-06-03,0.0138888888888889
2019-06-04,0.875
2019-06-05,0
2019-06-06,0
2019-06-07,0
2019-06-08,0.152777777777778
2019-06-09,0.0138888888888889
2019-06-10,0.0277777777777778
2019-06-11,0
2019-06-12,0
2019-06-13,0.0694444444444444
2019-06-14,0
2019-06-15,0
2019-06-16,0
2019-06-17,0
2019-06-18,0
2019-06-19,0
2019-06-20,0
2019-06-21,0
2019-06-22,0
2019-06-23,0
2019-06-24,0
2019-06-25,0
2019-06-26,0
2019-06-27,0
2019-06-28,0
2019-06-29,0
2019-06-30,0
2019-07-01,0
2019-07-02,0
2019-07-03,0
2019-07-04,0
2019-07-05,5.99305555555556
2019-07-06,0
2019-07-07,0
2019-07-08,0
2019-07-09,0
2019-07-10,0
2019-07-11,0
2019-07-12,0
2019-07-13,0
2019-07-14,0.0138888888888889
2019-07-15,0
2019-07-16,0
2019-07-17,0
2019-07-18,0
2019-07-19,0
2019-07-20,0
2019-07-21,0.180555555555556
2019-07-22,0
2019-07-23,0
2019-07-24,0
2019-07-25,0
2019-07-26,0
2019-07-27,0
2019-07-28,0
2019-07-29,0
2019-07-30,0
2019-07-31,0
2019-08-01,0
2019-08-02,0
2019-08-03,0
2019-08-04,0
2019-08-05,0
2019-08-06,0.430555555555556
2019-08-07,0
2019-08-08,0
2019-08-09,0
2019-08-10,0
2019-08-11,0
2019-08-12,0
2019-08-13,0
2019-08-14,0
2019-08-15,0
2019-08-16,0
2019-08-17,0
2019-08-18,0
2019-08-19,11.2638888888889
2019-08-20,0
2019-08-21,0.1875
2019-08-22,0
2019-08-23,0
2019-08-24,0
2019-08-25,0
2019-08-26,1.70138888888889
2019-08-27,0.291666666666667
2019-08-28,0.923611111111111
2019-08-29,0
2019-08-30,0
2019-08-31,0.0972222222222222
2019-09-01,0
2019-09-02,0.416666666666667
2019-09-03,0
2019-09-04,1.16666666666667
2019-09-05,2.38888888888889
2019-09-06,2.13888888888889
2019-09-07,1.29166666666667
2019-09-08,0
2019-09-09,0
2019-09-10,0
2019-09-11,0.222222222222222
2019-09-12,0
2019-09-13,0
2019-09-14,0
2019-09-15,0
2019-09-16,0
2019-09-17,0
2019-09-18,0
2019-09-19,0
2019-09-20,0
2019-09-21,0
2019-09-22,2.18055555555556
2019-09-23,0.152777777777778
2019-09-24,0.0694444444444444
2019-09-25,0
2019-09-26,0
2019-09-27,0
2019-09-28,11.4166666666667
2019-09-29,0
2019-09-30,0.194444444444444
2019-10-01,9.83333333333333
2019-10-02,0
2019-10-03,0
2019-10-04,0
2019-10-05,8.85416666666667
2019-10-06,0
2019-10-07,0
2019-10-08,8.89583333333333
2019-10-09,0
2019-10-10,0
2019-10-11,12.1805555555556
2019-10-12,0.222222222222222
2019-10-13,7.16666666666667
2019-10-14,0.861111111111111
2019-10-15,0.0763888888888889
2019-10-16,1.93055555555556
2019-10-17,0.0694444444444444
2019-10-18,12
2019-10-19,47.5555555555556
2019-10-20,0.0416666666666667
2019-10-21,0.263888888888889
2019-10-22,1.5625
2019-10-23,0
2019-10-24,0
2019-10-25,0.791666666666667
2019-10-26,14.0694444444444
2019-10-27,0
2019-10-28,0.208333333333333
2019-10-29,14.8055555555556
2019-10-30,1.14583333333333
2019-10-31,0.284722222222222
2019-11-01,0.0625
2019-11-02,37.2013888888889
2019-11-03,0.194444444444444
2019-11-04,0
2019-11-05,8.03472222222222
2019-11-06,0.972222222222222
2019-11-07,0.611111111111111
2019-11-08,0
2019-11-09,0.0694444444444444
2019-11-10,0.541666666666667
2019-11-11,3.5625
2019-11-12,0.173611111111111
2019-11-13,1.05555555555556
2019-11-14,10.4166666666667
2019-11-15,13.2916666666667
2019-11-16,23.1111111111111
2019-11-17,0.666666666666667
2019-11-18,2.5
2019-11-19,10.75
2019-11-20,4.95833333333333
2019-11-21,0.125
2019-11-22,24.8263888888889
2019-11-23,1.01388888888889
2019-11-24,0
2019-11-25,0.659722222222222
2019-11-26,0
2019-11-27,12.8888888888889
2019-11-28,1.41666666666667
2019-11-29,3.77777777777778
2019-11-30,0
2019-12-01,0.291666666666667
2019-12-02,2.65972222222222
2019-12-03,29.8819444444444
2019-12-04,0
